"“ерминал";"ƒень недели";"ƒата";"¬алюта";"1€ кассета: номинал";"1€ кассета: количество";"1€ кассета: статус";"2€ кассета: номинал";"2€ кассета: количество";"2€ кассета: статус";"3€ кассета: номинал";"3€ кассета: количество";"3€ кассета: статус";"4€ кассета: номинал";"4€ кассета: количество";"4€ кассета: статус";"кол-во банкнот в сбросовой кассете";"сумма в банкомате на начало суток";"сумма выданых наличных за сутки"
"000002";"2";"10.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"3";"11.02.2015";"BYR";"50000";"2362";"1";"100000";"2361";"1";"200000";"2354";"1";"0";"0";"0";"3";"825000000";"3900000"
"000002";"3";"11.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"4";"12.02.2015";"BYR";"50000";"2089";"1";"100000";"2019";"1";"200000";"1942";"1";"0";"0";"0";"3";"694750000";"22400000"
"000002";"4";"12.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"5";"13.02.2015";"BYR";"50000";"979";"1";"100000";"685";"1";"200000";"176";"1";"0";"0";"0";"3";"152650000";"0"
"000002";"5";"13.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"6";"14.02.2015";"BYR";"50000";"979";"1";"100000";"685";"1";"200000";"176";"1";"0";"0";"0";"3";"152650000";"140600000"
"000002";"6";"14.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"7";"15.02.2015";"BYR";"50000";"241";"1";"100000";"0";"0";"200000";"0";"0";"0";"0";"0";"9";"12050000";"0"
"000002";"7";"15.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"9";"0";"0"
"000002";"1";"16.02.2015";"BYR";"50000";"0";"0";"100000";"0";"0";"200000";"0";"0";"0";"0";"0";"14";"0";"0"
"000002";"1";"16.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"14";"0";"0"
"000002";"2";"17.02.2015";"BYR";"50000";"1969";"1";"100000";"1876";"1";"200000";"1781";"1";"0";"0";"0";"3";"642250000";"28250000"
"000002";"2";"17.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"3";"18.02.2015";"BYR";"50000";"1902";"1";"100000";"1801";"1";"200000";"1694";"1";"0";"0";"0";"3";"614000000";"0"
"000002";"3";"18.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
